Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.25,16.16,15.059,16.134,96359,0
2005-02-28,15.97,16.255,15.38,15.806,129619,0
2005-03-01,15.908,16.326,15.779,16.326,80248,0
2005-03-02,16.083,16.247,15.814,16.083,58666,0
2005-03-03,16.247,16.247,15.398,15.824,57661,0
2005-03-04,16.031,16.031,15.605,15.659,45121,0
2005-03-07,15.832,15.952,15.553,15.632,52648,0
2005-03-08,15.587,15.806,15.199,15.433,73937,0
2005-03-09,15.353,16.039,15.189,15.943,107873,0
2005-03-10,15.908,15.908,15.224,15.276,52716,0
2005-03-11,15.241,15.345,14.453,15.25,94165,0
2005-03-14,15.25,15.371,15.095,15.267,48665,0
2005-03-15,15.451,15.659,14.712,14.826,89841,0
2005-03-16,14.914,14.922,14.532,14.773,91518,0
2005-03-17,14.582,14.861,14.298,14.479,115574,0
2005-03-18,14.342,14.685,14.069,14.324,215640,0
2005-03-21,14.107,14.435,13.916,14.175,75799,0
2005-03-22,14.307,14.39,13.889,13.916,53193,0
2005-03-23,13.871,14.079,13.828,13.934,78210,0
2005-03-24,13.975,14.062,13.736,13.898,81305,0
2005-03-28,13.855,14.358,13.855,13.925,71056,0
2005-03-29,13.809,14.062,13.672,13.768,124889,0
2005-03-30,13.837,14.107,13.791,14.01,188973,0
2005-03-31,14.062,14.062,13.68,13.828,134097,0
2005-04-01,14.062,14.426,13.846,14.054,214436,0
2005-04-04,14.046,14.046,13.698,13.879,125033,0
2005-04-05,13.871,14.288,13.855,14.199,187388,0
2005-04-06,14.408,14.826,14.408,14.781,229065,0
2005-04-07,14.781,14.826,14.549,14.765,78051,0
2005-04-08,14.66,14.896,14.39,14.39,69133,0
2005-04-11,14.358,14.505,13.916,14.315,105490,0
2005-04-12,14.227,14.38,13.898,14.307,72314,0
2005-04-13,14.166,14.39,13.698,13.744,52893,0
2005-04-14,13.726,13.744,13.352,13.507,105089,0
2005-04-15,13.507,13.594,13.006,13.239,66216,0
2005-04-18,13.118,13.272,12.841,13.239,86836,0
2005-04-19,13.309,13.587,12.908,13.561,82463,0
2005-04-20,13.445,13.736,13.378,13.463,149264,0
2005-04-21,13.479,14.245,13.479,14.02,92550,0
2005-04-22,13.871,15.545,13.871,14.755,346157,0
2005-04-25,14.755,15.095,14.653,14.861,167877,0
2005-04-26,14.939,14.939,14.565,14.773,192313,0
2005-04-27,14.591,15.865,14.591,15.095,226429,0
2005-04-28,15.129,15.415,14.988,15.033,135070,0
2005-04-29,15.095,15.56,14.556,15.478,113032,0
2005-05-02,15.519,15.519,14.765,15.276,139029,0
2005-05-03,15.276,15.65,15.25,15.292,161180,0
2005-05-04,15.478,15.814,15.292,15.623,133202,0
2005-05-05,15.511,15.752,15.469,15.493,94181,0
2005-05-06,15.39,15.752,15.276,15.56,53369,0
2005-05-09,15.595,15.692,15.31,15.605,88125,0
2005-05-10,15.528,15.595,15.319,15.371,130961,0
2005-05-11,15.329,15.605,15.329,15.478,114160,0
2005-05-12,15.478,15.553,14.962,15.12,102865,0
2005-05-13,15.111,15.727,15.111,15.569,121096,0
2005-05-16,15.605,15.814,15.46,15.779,202369,0
2005-05-17,15.605,15.952,15.595,15.865,185503,0
2005-05-18,15.873,15.98,15.814,15.943,162789,0
2005-05-19,15.917,16.126,15.89,16.064,275388,0
2005-05-20,16.074,16.169,15.926,16.169,102697,0
2005-05-23,16.169,16.577,16.083,16.533,219388,0
2005-05-24,16.471,16.517,16.307,16.517,173694,0
2005-05-25,16.603,16.603,16.214,16.379,183544,0
2005-05-26,16.645,16.793,16.471,16.793,105811,0
2005-05-27,16.636,16.891,16.552,16.775,66609,0
2005-05-31,16.818,16.931,16.561,16.663,156422,0
2005-06-01,16.569,16.899,16.507,16.835,124858,0
2005-06-02,16.811,17.063,16.663,16.976,114722,0
2005-06-03,16.949,16.949,16.379,16.446,126412,0
2005-06-06,16.552,16.863,16.379,16.717,89817,0
2005-06-07,16.759,17.081,16.412,16.533,109793,0
2005-06-08,16.49,16.618,16.282,16.37,80275,0
2005-06-09,16.307,16.627,16.031,16.543,168806,0
2005-06-10,16.437,16.471,15.943,16.178,137216,0
2005-06-13,16.056,16.526,16.056,16.397,80002,0
2005-06-14,16.299,16.552,16.299,16.517,86818,0
2005-06-15,16.517,16.517,16.074,16.389,121267,0
2005-06-16,16.255,16.429,16.16,16.307,79086,0
2005-06-17,16.42,16.42,15.952,16.056,194298,0
2005-06-20,15.998,16.083,15.478,15.587,137842,0
2005-06-21,15.511,15.89,15.46,15.814,198188,0
2005-06-22,15.841,16.654,15.841,16.471,160752,0
2005-06-23,16.397,17.175,16.397,16.985,181076,0
2005-06-24,16.985,17.322,16.985,17.194,348288,0
2005-06-27,17.081,17.289,16.645,17.227,184003,0
2005-06-28,17.271,17.557,17.166,17.557,133059,0
2005-06-29,17.567,17.729,17.33,17.557,115753,0
2005-06-30,17.601,17.956,17.347,17.382,98445,0
2005-07-01,17.347,17.65,17.139,17.382,85992,0
2005-07-05,17.297,17.815,17.113,17.747,187594,0
2005-07-06,17.774,17.947,17.626,17.747,150928,0
2005-07-07,17.408,17.72,17.366,17.72,93582,0
2005-07-08,17.642,18.078,17.592,18.078,117639,0
2005-07-11,17.988,18.534,17.988,18.526,245109,0
2005-07-12,18.552,18.788,18.242,18.668,163061,0
2005-07-13,18.668,18.701,18.353,18.552,89583,0
2005-07-14,18.642,19.073,18.597,18.709,158020,0
2005-07-15,18.725,19.02,18.51,18.824,109866,0
2005-07-18,18.814,18.814,18.13,18.234,139824,0
2005-07-19,18.443,18.709,18.303,18.492,135347,0
2005-07-20,18.397,19.367,18.286,19.367,366869,0
2005-07-21,20.722,22.11,20.722,22.019,1298189,0
2005-07-22,21.754,22.466,21.719,22.283,573345,0
2005-07-25,22.151,22.385,21.777,22.057,329746,0
2005-07-26,22.066,22.195,21.683,21.795,213693,0
2005-07-27,21.795,21.902,21.294,21.502,259329,0
2005-07-28,21.502,21.692,21.408,21.658,132040,0
2005-07-29,21.658,21.675,21.171,21.337,186427,0
2005-08-01,21.467,21.675,21.363,21.467,137490,0
2005-08-02,21.571,22.248,21.328,22.238,181789,0
2005-08-03,22.238,22.238,21.467,21.754,177443,0
2005-08-04,21.701,21.701,21.241,21.294,134110,0
2005-08-05,21.153,21.502,20.557,21.016,184318,0
2005-08-08,21.189,21.319,20.904,20.946,102871,0
2005-08-09,21.069,21.604,21.016,21.094,283216,0
2005-08-10,21.189,21.216,20.193,20.633,171753,0
2005-08-11,20.746,21.162,20.184,21.153,150937,0
2005-08-12,21.051,21.051,20.184,20.375,150555,0
2005-08-15,20.322,21.051,20.07,20.365,111572,0
2005-08-16,20.261,20.669,20.03,20.28,111439,0
2005-08-17,20.228,21.415,20.228,20.963,255275,0
2005-08-18,20.817,20.911,20.314,20.582,127155,0
2005-08-19,20.47,21.061,20.47,20.809,106588,0
2005-08-22,20.755,20.99,20.348,20.573,124389,0
2005-08-23,20.573,21.536,20.452,21.483,204972,0
2005-08-24,21.422,21.554,21.094,21.207,346427,0
2005-08-25,21.207,21.38,20.946,20.946,161456,0
2005-08-26,20.919,20.946,20.202,20.47,158267,0
2005-08-29,20.365,20.722,20.047,20.678,102978,0
2005-08-30,20.54,20.738,20.375,20.592,78537,0
2005-08-31,20.731,21.363,20.695,21.171,149934,0
2005-09-01,21.301,21.301,20.809,20.852,193829,0
2005-09-02,20.809,20.852,20.443,20.608,66659,0
2005-09-06,20.712,20.938,20.166,20.695,175161,0
2005-09-07,20.592,20.981,20.112,20.564,234492,0
2005-09-08,20.592,21.536,20.375,20.633,176608,0
2005-09-09,20.642,21.589,20.642,21.153,150409,0
2005-09-12,21.061,21.38,20.738,21.216,114021,0
2005-09-13,21.162,21.612,21.051,21.492,136307,0
2005-09-14,21.545,21.589,20.722,21.137,165057,0
2005-09-15,21.189,21.571,20.981,21.363,139415,0
2005-09-16,21.536,21.631,21.111,21.58,326162,0
2005-09-19,21.571,21.719,20.07,20.712,210978,0
2005-09-20,20.764,20.799,19.975,20.122,123373,0
2005-09-21,19.957,20.193,19.532,19.975,132700,0
2005-09-22,19.957,19.957,19.334,19.384,279950,0
2005-09-23,19.352,20.184,19.29,20.021,87737,0
2005-09-26,20.131,20.399,19.611,19.811,90948,0
2005-09-27,19.864,19.94,19.073,19.94,146279,0
2005-09-28,19.948,19.948,18.562,18.824,264224,0
2005-09-29,18.701,20.261,18.701,20.193,310107,0
2005-09-30,20.157,20.522,19.94,20.504,106119,0
2005-10-03,20.582,20.833,20.331,20.54,287087,0
2005-10-04,20.573,20.878,20.021,20.461,175117,0
2005-10-05,20.375,20.669,20.003,20.243,208868,0
2005-10-06,20.375,20.547,20.003,20.304,146868,0
2005-10-07,20.314,20.703,20.314,20.582,76024,0
2005-10-10,20.461,20.513,19.984,20.174,148900,0
2005-10-11,20.237,20.28,19.412,19.508,222045,0
2005-10-12,19.421,19.482,18.934,19.02,232332,0
2005-10-13,18.98,19.993,18.925,19.872,103040,0
2005-10-14,20.012,20.012,19.108,19.957,100873,0
2005-10-17,19.766,19.879,19.152,19.517,154273,0
2005-10-18,19.482,19.575,19.273,19.299,71246,0
2005-10-19,19.343,19.367,18.294,18.425,422643,0
2005-10-20,18.335,18.484,18.051,18.484,297405,0
2005-10-21,19.931,20.764,19.593,20.494,950645,0
2005-10-24,20.391,20.963,20.211,20.953,364010,0
2005-10-25,20.895,20.963,19.785,20.452,228191,0
2005-10-26,20.252,20.809,19.888,19.931,210532,0
2005-10-27,19.856,20.087,19.258,19.258,126096,0
2005-10-28,19.367,19.621,18.9,19.602,204107,0
