Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.163,6.1958,6.1498,6.1958,44693,0
2005-02-28,6.1958,6.2088,6.1562,6.1958,53994,0
2005-03-01,6.183,6.2088,6.183,6.1958,27145,0
2005-03-02,6.1958,6.2157,6.183,6.2157,50791,0
2005-03-03,6.183,6.2088,6.183,6.1888,36603,0
2005-03-04,6.1694,6.1958,6.1694,6.1958,98227,0
2005-03-07,6.183,6.1958,6.1694,6.1958,42246,0
2005-03-08,6.2088,6.2088,6.163,6.1888,55677,0
2005-03-09,6.1302,6.1368,6.064,6.1101,58271,0
2005-03-10,6.1101,6.1176,6.0777,6.0972,15099,0
2005-03-11,6.0844,6.1101,6.0714,6.0714,21810,0
2005-03-14,6.0714,6.0714,6.0384,6.0384,42703,0
2005-03-15,6.0582,6.064,6.0317,6.0582,32479,0
2005-03-16,6.0055,6.064,6.0055,6.0055,27609,0
2005-03-17,6.0188,6.0514,6.0188,6.0449,35386,0
2005-03-18,6.0449,6.0449,6.0122,6.0188,10224,0
2005-03-21,5.9661,5.973,5.8357,5.881,158468,0
2005-03-22,5.8481,5.881,5.8089,5.8548,49420,0
2005-03-23,5.8611,5.8611,5.7105,5.7764,53689,0
2005-03-24,5.7764,5.7957,5.7306,5.7498,32029,0
2005-03-28,5.7498,5.8156,5.717,5.7957,62836,0
2005-03-29,5.8678,5.8942,5.7631,5.7764,56430,0
2005-03-30,5.7764,5.8282,5.7764,5.8282,38583,0
2005-03-31,5.8218,5.8678,5.8022,5.8548,68028,0
2005-04-01,5.8548,5.9006,5.8548,5.9006,50945,0
2005-04-04,5.8357,5.8942,5.8357,5.8874,20439,0
2005-04-05,5.8746,5.8942,5.8357,5.8942,14949,0
2005-04-06,5.8942,5.8942,5.8481,5.8611,20285,0
2005-04-07,5.8611,5.8874,5.8481,5.8874,33860,0
2005-04-08,5.8874,5.907,5.8218,5.8481,151616,0
2005-04-11,5.8481,5.8481,5.8218,5.8357,36758,0
2005-04-12,5.8481,5.8481,5.7957,5.8413,11441,0
2005-04-13,5.8481,5.8548,5.8218,5.8548,57651,0
2005-04-14,5.8611,5.8611,5.8218,5.8282,20743,0
2005-04-15,5.8218,5.8357,5.8218,5.8282,21810,0
2005-04-18,5.8548,5.8611,5.8548,5.8611,28526,0
2005-04-19,5.8611,5.8874,5.7894,5.8282,17388,0
2005-04-20,5.8282,5.8746,5.8218,5.8357,18458,0
2005-04-21,5.8218,5.8611,5.8218,5.8548,28677,0
2005-04-22,5.8678,5.881,5.8218,5.8282,20439,0
2005-04-25,5.8282,5.8413,5.8218,5.8413,10984,0
2005-04-26,5.8089,5.8481,5.8089,5.8357,63608,0
2005-04-27,5.8611,5.9006,5.8611,5.881,26237,0
2005-04-28,5.9205,5.9268,5.8746,5.8746,32180,0
2005-04-29,5.8678,5.9138,5.8611,5.8746,25324,0
2005-05-02,5.8678,5.9268,5.8481,5.881,26540,0
2005-05-03,5.8942,5.9006,5.8481,5.8874,37974,0
2005-05-04,5.907,5.9268,5.8942,5.9268,13729,0
2005-05-05,5.9337,5.9337,5.8678,5.9205,55972,0
2005-05-06,5.9006,5.9006,5.8678,5.881,25629,0
2005-05-09,5.8874,5.9268,5.8611,5.9138,42862,0
2005-05-10,5.8611,5.8942,5.8611,5.8874,35386,0
2005-05-11,5.9205,5.9205,5.881,5.8942,34169,0
2005-05-12,5.9138,5.9138,5.8874,5.8874,12815,0
2005-05-13,5.9006,5.9138,5.881,5.9006,28067,0
2005-05-16,5.8942,5.9138,5.881,5.907,15099,0
2005-05-17,5.8548,5.907,5.8548,5.907,42096,0
2005-05-18,5.907,5.9205,5.9006,5.907,37207,0
2005-05-19,5.9138,5.9138,5.9006,5.9138,39503,0
2005-05-20,5.9138,5.9205,5.9006,5.9006,14949,0
2005-05-23,5.9138,5.94,5.9138,5.94,21963,0
2005-05-24,5.9468,5.9529,5.9006,5.94,63452,0
2005-05-25,5.9337,5.9337,5.8874,5.9268,31879,0
2005-05-26,5.9337,5.94,5.8746,5.9268,33556,0
2005-05-27,5.8611,5.94,5.8611,5.9268,40879,0
2005-05-31,5.9468,5.986,5.9268,5.986,50028,0
2005-06-01,5.9923,6.0582,5.973,6.0582,65735,0
2005-06-02,6.0449,6.0582,6.0317,6.0582,25163,0
2005-06-03,6.064,6.1302,6.0188,6.0777,80381,0
2005-06-06,6.0844,6.0844,6.0582,6.0714,11745,0
2005-06-07,6.0972,6.1176,6.0714,6.0844,58723,0
2005-06-08,6.0972,6.1101,6.0777,6.091,22122,0
2005-06-09,6.0714,6.0844,6.0582,6.0844,42096,0
2005-06-10,6.0714,6.0714,6.0317,6.0317,36758,0
2005-06-13,6.0582,6.0582,6.0188,6.0253,15556,0
2005-06-14,6.0449,6.0514,6.0055,6.0449,32646,0
2005-06-15,6.0188,6.0317,5.9991,6.0055,40879,0
2005-06-16,5.9923,6.0122,5.973,5.9991,20743,0
2005-06-17,6.0188,6.0384,5.9792,6.0055,47896,0
2005-06-20,6.0317,6.0449,6.0055,6.0122,37207,0
2005-06-21,6.0188,6.0514,5.986,6.0449,25629,0
2005-06-22,6.0582,6.064,6.0317,6.0449,28526,0
2005-06-23,6.0582,6.0777,6.0449,6.064,50028,0
2005-06-24,6.0514,6.0777,6.0514,6.064,109511,0
2005-06-27,6.0514,6.0777,6.0514,6.064,36603,0
2005-06-28,6.0777,6.091,6.0384,6.0777,55370,0
2005-06-29,6.0514,6.0972,6.0253,6.0582,59027,0
2005-06-30,6.0449,6.0777,6.0384,6.0777,27757,0
2005-07-01,6.0384,6.091,6.0384,6.064,22728,0
2005-07-05,6.0714,6.0714,6.0317,6.064,27609,0
2005-07-06,6.0514,6.0972,6.0449,6.0972,52167,0
2005-07-07,6.0777,6.1234,6.064,6.064,95779,0
2005-07-08,6.064,6.091,6.064,6.091,28368,0
2005-07-11,6.091,6.091,6.0582,6.0844,32942,0
2005-07-12,6.0449,6.091,6.0449,6.064,37674,0
2005-07-13,6.0844,6.091,6.0317,6.0384,71535,0
2005-07-14,6.0384,6.0449,6.0188,6.0188,56130,0
2005-07-15,6.0317,6.0582,5.9991,6.0317,40726,0
2005-07-18,6.0317,6.0449,5.9991,5.9991,38896,0
2005-07-19,6.0122,6.0317,5.9991,6.0055,48660,0
2005-07-20,6.0055,6.0317,5.9991,6.0253,43166,0
2005-07-21,6.0122,6.0188,5.9991,6.0188,35695,0
2005-07-22,6.0188,6.0253,6.0055,6.0188,25629,0
2005-07-25,6.0122,6.0317,5.9991,6.0188,69555,0
2005-07-26,6.0122,6.0514,6.0055,6.0449,40574,0
