Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,5.5944,5.7088,5.5641,5.6554,44576,0
2005-02-28,5.6554,5.7088,5.5641,5.5791,27580,0
2005-03-01,5.5944,5.686,5.5944,5.6401,20295,0
2005-03-02,5.6935,5.7088,5.6174,5.6478,22030,0
2005-03-03,5.7011,5.7011,5.6022,5.6022,12661,0
2005-03-04,5.5944,5.6935,5.5944,5.6707,16999,0
2005-03-07,5.6935,5.6935,5.6174,5.6174,21679,0
2005-03-08,5.7011,5.7088,5.6174,5.6174,18386,0
2005-03-09,5.6174,5.7088,5.6174,5.6935,14049,0
2005-03-10,5.6935,5.7011,5.6478,5.6478,19423,0
2005-03-11,5.5944,5.6174,5.5411,5.5411,7980,0
2005-03-14,5.6022,5.6022,5.5334,5.5715,16132,0
2005-03-15,5.5715,5.5944,5.5486,5.5715,14571,0
2005-03-16,5.5334,5.5334,5.5031,5.5334,11796,0
2005-03-17,5.5182,5.5334,5.4803,5.4803,26711,0
2005-03-18,5.5334,5.5334,5.4803,5.5258,16132,0
2005-03-21,5.5641,5.5641,5.3963,5.3963,21507,0
2005-03-22,5.381,5.5258,5.381,5.4192,28965,0
2005-03-23,5.4192,5.4192,5.3582,5.4039,22204,0
2005-03-24,5.4192,5.4192,5.4192,5.4192,1214,0
2005-03-28,5.3582,5.4192,5.1218,5.1677,40586,0
2005-03-29,5.2438,5.3277,5.1677,5.3048,29486,0
2005-03-30,5.2743,5.2896,4.9007,5.1904,70249,0
2005-03-31,5.1979,5.2743,5.1067,5.1904,30006,0
2005-04-01,5.1904,5.2362,5.16,5.16,7632,0
2005-04-04,5.1904,5.4496,5.1904,5.3884,31740,0
2005-04-05,5.4192,5.5258,5.381,5.5258,43710,0
2005-04-06,5.5334,5.5562,5.4496,5.5562,28272,0
2005-04-07,5.5031,5.5641,5.5031,5.5334,5723,0
2005-04-08,5.5258,5.5944,5.5031,5.5868,8150,0
2005-04-11,5.5944,5.6174,5.3582,5.4116,28272,0
